product name,brand,price,number of colors/scent,rating
'Make It Last Setting Spray Prime + Correct + Set','Milani',$9.99,0,4.30
'Primed &amp; Poreless Face Primer','Too Faced',$30.00,0,4.40
'Light Illusion Full Coverage Concealer','FLOWER Beauty',$9.99,6,3.60
'Infallible Pro-Glow Foundation','L'Oréal',$12.99,12,4.20
'Teint Idole Ultra Longwear Foundation Stick SPF 21','Lancôme',$43.00,25,4.60
'Light Illusion Liquid Foundation','FLOWER Beauty',$13.99,12,3.70
'HD Soft Focus Liquid Foundation','ULTA',$14.00,10,3.40
'Hello Flawless Oxygen Wow Liquid Foundation SPF 25','Benefit Cosmetics',$36.00,4,3.90
'Online Only Radiant Cream Primer','IPKN',$28.00,0,5.00
'Baked Blush','Milani',$7.99,4,4.60
'Smooth Liquid Camo Foundation','Dermablend',$38.00,14,4.20
'Even Better Refresh Hydrating and Repairing Makeup','Clinique',$32.00,27,4.30
'Camera Ready BB Cream Broad Spectrum SPF 35','Smashbox',$42.00,8,4.20
'Bye Bye Breakout','It Cosmetics',$28.00,7,4.00
'Naked Skin Color Correcting Fluid','Urban Decay Cosmetics',$29.00,4,4.30
'Flushed Blush','ULTA',$10.00,8,4.70
'Blushing Babes Blush Trio','Morphe',$12.00,7,4.40
'Blush Bomb Color Drops','FLOWER Beauty',$9.99,6,4.50
'Skin Caring Foundation SPF 20','Exuviance',$19.00,7,4.30
'Mineral Setting Powder','ULTA',$14.00,0,4.10
'Double Wear Instant Fix Concealer 24H Concealer + Hydra Prep','Estée Lauder',$28.00,22,4.20
'Mineralize Blush','MAC',$29.00,10,4.70
'Nikkietutorials Glazed Donut Highlighter','Ofra Cosmetics',$29.00,0,4.70
'Bye Bye Redness Redness Erasing Correcting Powder','It Cosmetics',$38.00,3,4.10
'PHYTO-PIGMENTS Flawless Serum Foundation','Juice Beauty',$44.00,10,3.70
'Tutti Frutti - Dew You Fresh Glow Foundation','Too Faced',$36.00,20,3.40
'Hoola Cream-to-Powder Quickie Contour Stick','Benefit Cosmetics',$28.00,0,4.20
'Spackle Hydrating Under Make-up Primer','Laura Geller',$16.00,0,4.40
'Shimmering Skin Perfector Pressed Highlighter Mini','BECCA',$22.00,4,4.30
'Renewed Hope In A Jar Skin Tint','Philosophy',$39.00,8,4.30
'SkinActive Micellar Cleansing Water All-in-1 Cleanser &amp; Waterproof Makeup Remover','Garnier',$3.99 - $6.74,2,4.40
'Power Play Foundation','COVER FX',$44.00,40,4.20
'Dewy Finish Makeup Setting Spray','NYX Professional Makeup',$8.50,0,4.30
'Prime Time BB Primer-Cream Daily Defense Broad Spectrum SPF 30','BareMinerals',$27.00,2,4.50
'Superbalanced Makeup','Clinique',$27.00,11,4.50
'Makeup Dissolver Face &amp; Body Powerful Makeup Remover','Dermablend',$24.00,0,4.40
'Coconut Melt','Kopari Beauty',$28.00,0,4.60
'Alight Clean Foundation','Pacifica',$16.00,30,4.00
'Teint Miracle Radiant SPF 15 Foundation','Lancôme',$23.47 - $47.00,17,4.40
'Primed &amp; Poreless Pressed Powder','Too Faced',$30.00,0,4.30
'Cocoa Contour Chiseled to Perfection','Too Faced',$42.00,0,4.50
'Line Smoothing Concealer','Clinique',$20.50,6,4.50
'Angel Veil Skin Perfecting Primer','NYX Professional Makeup',$16.00,0,3.90
'Effacernes Waterproof Protective Undereye Concealer','Lancôme',$31.00,10,4.30
'Photo Finish Primer Oil','Smashbox',$42.00,0,4.60
'Dream Fresh BB Cream 8-In-1 Skin Perfector','Maybelline',$8.99,3,3.90
'Well-Rested Eye Brightener Broad Spectrum SPF 20','BareMinerals',$20.00,0,4.60
'Poreless Mattifying Primer','Tarte',$32.00,0,3.90
'MegaGlo Highlighting Powder','Wet n Wild',$4.99,6,4.40
'Diamond Light Multi-Use Diamond Fire Highlighter','Too Faced',$36.00,3,4.20
'Double Wear Stay-in-Place Flawless Wear Concealer','Estée Lauder',$29.00,10,4.20
'Online Only Amazing Concealer','Amazing Cosmetics',$28.00,19,4.30
'Studio Waterweight SPF 30 Foundation','MAC',$36.00,16,4.00
'Smooth Operator Amazonian Clay Finishing Powder','Tarte',$33.00,0,4.00
'Photo Finish Reduce Redness Primer','Smashbox',$39.00,0,4.00
'No Filter Blurring Photography Primer','PÜR',$33.00,0,3.80
'Boi-ing Hydrating Concealer','Benefit Cosmetics',$22.00,6,4.30
'Bye Bye Under Eye Concealing Pot','It Cosmetics',$28.00,6,3.90
'Wonder Stick','NYX Professional Makeup',$12.00,4,3.70
'Color Correcting Liquid Concealer','ULTA',$9.00,4,4.20
'Double Duty Beauty Shape Tape Pressed Powder','Tarte',$32.00,15,3.30
'Tutti Frutti - Pineapple Paradise Strobing Bronzer Highlighting Duo','Too Faced',$30.00,0,3.90
